Strike,Price,PctChange
68.75,12.99,1.28
70,11.75,1.26
71.3,10.47,1.25
74,7.84,1.19
74.9,6.98,1.15
75,6.89,1.15
75.05,6.84,1.14
75.5,6.42,1.12
75.85,6.1,1.1
76.75,5.28,1.04
77,5.06,1.02
77.1,4.97,1.01
77.2,4.89,1
77.75,4.42,0.95
78,4.21,0.93
78.75,3.61,0.85
79,3.42,0.83
79.05,3.38,0.82
79.5,3.05,0.77
80,2.7,0.71
80.5,2.37,0.64
81,2.07,0.58
81.1,2.01,0.56
81.45,1.82,0.52
81.5,1.79,0.51
81.6,1.74,0.51
81.65,1.71,0.49
82,1.54,0.46
82.5,1.31,0.4
83,1.1,0.34
83.7,0.86,0.27
84,0.78,0.25
84.7,0.6,0.19
85,0.53,0.17
85.5,0.44,0.14
85.75,0.4,0.13
86,0.36,0.12
86.25,0.33,0.11
86.4,0.31,0.1
86.5,0.3,0.1
87,0.24,0.07
87.5,0.2,0.06
87.65,0.19,0.06
87.9,0.17,0.05
88,0.17,0.05
88.35,0.15,0.05
88.5,0.14,0.04
88.6,0.13,0.04
88.65,0.13,0.04
88.75,0.13,0.04
88.8,0.12,0.03
89,0.12,0.04
89.2,0.11,0.03
89.5,0.1,0.03
90,0.08,0.02
90.25,0.07,0.02
91,0.06,0.02
91.25,0.05,0.01
91.5,0.05,0.01
92,0.04,0.01
92.5,0.04,0.01
93,0.03,0.01
94,0.02,0
94.5,0.02,0
95,0.02,0.01
95.5,0.02,0.01
98.05,0.01,0
99.25,0.01,0
100,0.01,0
104.5,0.01,0
130,0.01,0
